"id:ID","uri","description"
"51287","http://id.d4k.dk/dataset/study/1/ACT001","Informed consent"
"51288","http://id.d4k.dk/dataset/study/1/ACT002","Eligibility criteria"
"51289","http://id.d4k.dk/dataset/study/1/ACT003","Demography"
"51290","http://id.d4k.dk/dataset/study/1/ACT004","Medical history"
"51291","http://id.d4k.dk/dataset/study/1/ACT005","Disease characteristics"
"51292","http://id.d4k.dk/dataset/study/1/ACT006","Physical exam"
"51293","http://id.d4k.dk/dataset/study/1/ACT007","Height"
"51294","http://id.d4k.dk/dataset/study/1/ACT008","12-lead ECG"
"51295","http://id.d4k.dk/dataset/study/1/ACT009","Hematology (predose)"
"51296","http://id.d4k.dk/dataset/study/1/ACT010","Chemistry (predose)"
"51297","http://id.d4k.dk/dataset/study/1/ACT011","Serology"
"51298","http://id.d4k.dk/dataset/study/1/ACT012","Urinalysis"
"51299","http://id.d4k.dk/dataset/study/1/ACT013","Pregnancy test"
"51300","http://id.d4k.dk/dataset/study/1/ACT014","Ensure availability of medication X"
"51301","http://id.d4k.dk/dataset/study/1/ACT015","Hospitalization"
"51302","http://id.d4k.dk/dataset/study/1/ACT016","Weight"
"51303","http://id.d4k.dk/dataset/study/1/ACT017","Vital signs"
"51304","http://id.d4k.dk/dataset/study/1/ACT018","adverse events"
"51305","http://id.d4k.dk/dataset/study/1/ACT019","Concomitant medications"
