"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"36889","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81223","Date Imputation Flag","false","DATEFL","Date Imputation Flag: Indicates the level of imputation reflected in a date value.","C81223","Date Imputation Flag","CDISC ADaM Date Imputation Flag Terminology"
"36890","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81223-C81212","","","D","Day Imputed: Day is imputed.","C81212","","Day Imputed"
"36891","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81223-C81211","","","M","Month Imputed: Month and day are imputed.","C81211","","Month Day Imputed"
"36892","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81223-C81210","","","Y","Year Imputed: Entire date (year, month and day) is imputed.","C81210","","Year Month Day Imputed"
"36893","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224","Derivation Type","true","DTYPE","Derivation Type: Analysis value derivation method.","C81224","Derivation Type","CDISC ADaM Derivation Type Terminology"
"36894","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C81209","","","AVERAGE","A data derivation or imputation technique which sets the analysis value on the record to the subject's average value over a defined set of records.","C81209","Average","Average of Value Derivation Technique"
"36895","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C92225","","","BC","A data derivation or imputation technique which sets the analysis value on the record to the best possible outcome.","C92225","Best Case","Best Case Imputation Technique"
"36896","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C81201","","","BLOCF","A data derivation or imputation technique which sets the analysis value on the record to the subject's non-missing baseline observation.","C81201","Baseline Observation Carried Forward","Baseline Observation Carried Forward Imputation Technique"
"36897","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C132340","","","BOC","A data derivation or imputation technique which sets the analysis value on the record to the best outcome recorded within a subject.","C132340","Best Observed Case","Best Observed Case Imputation Technique"
"36898","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C92226","","","BOCF","A data derivation or imputation technique which sets the analysis value on the record to the subject's previous best-case non-missing value.","C92226","Best Observation Carried Forward","Best Observation Carried Forward Imputation Technique"
"36899","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C184383","","","COPY","A technique that uses assignment logic to duplicate an analysis value to be used in additional evaluations.","C184383","","Copy Duplication Imputation Technique"
"36900","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C139176","","","EXTRAP","A data derivation or imputation technique which sets the analysis value on the record to an estimation of a value based on extending a known sequence of values.","C139176","Extrapolation","Extrapolation Imputation Technique"
"36901","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224-C170546","","","HALFLLOQ","A data derivation or imputation technique which sets the analysis value on the record to one half of the lower limit of quantification of a test.","C170546","One Half of Lower Limit of Quantification","One Half of Lower Limit of Quantification Derivation Technique"
