"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"37349","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497","CDISC Glossary","False","CDISC Glossary","The terminology of the Clinical Data Interchange Standards Consortium (CDISC) glossary.","C67497","CDISC Glossary","CDISC Glossary Terminology"
"37350","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C80442","","","510(k)","510(k). Premarket Notification (PMN) required for certain medical devices. See http://www.fda.gov/cdrh/510khome.html.","C80442","","Premarket Device Notification"
"37351","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C42610","","","abbreviation","A set of letters that are drawn from a word or from a sequence of words and that are used for brevity in place of the full word or phrase. NOTE: An abbreviation is NOT pronounced as a word, but each letter is read in sequence (e.g., NIH). Compare to acronym.","C42610","","Abbreviation"
"37352","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C71733","","","absorption","The process by which medications reach the blood stream when administered other than intravenously, for example, through nasal membranes. See also ADME (pharmacokinetics).","C71733","","Biological Absorption"
"37353","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156638","","","accelerated approval","Regulatory mechanism by which new drugs meant to treat serious life-threatening diseases and that provide meaningful therapeutic benefit to patients over existing treatments can be approved rapidly. [after FDA, Guidance for Industry Expedited Programs for Serious Conditions - Drugs and Biologics; after NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource https://www.ncbi.nlm.nih.gov/books/NBK338448/]","C156638","fast track designation","Accelerated Approval"
"37354","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C93495","","","acronym","A word formed from the beginning letters (e.g., ANSI) or a combination of syllables and letters (e.g., MedDRA) of a name or phrase. NOTE: An acronym is usually pronounced as a word, not by speaking each letter individually. Compare to abbreviation","C93495","","Acronym"
"37355","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142550","","","action letter","An official communication from FDA to an NDA sponsor announcing an agency decision. See also approval letter, approvable letter, not-approvable letter.","C142550","","FDA Action Letter"
"37356","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142528","","","activation (EDC)","Enabling an eClinical trial system to capture data; usually used for EDC systems.","C142528","","Electronic Data Capture Activation"
"37357","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C95337","","","active ingredient dose","The amount of a single active substance administered in a single dose.","C95337","active substance dose","Active Ingredient Dose"
"37358","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C82533","","","active ingredient","An active ingredient is any component of a drug product intended to exert pharmacological activity or other direct effect in the diagnosis, cure, mitigation, treatment, or prevention of disease, or to affect the structure or any function of the body of humans or other animals. [After 21 CFR 210.3(b)(7)]","C82533","","Active Ingredient"
"37359","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C98704","","","adaptive design","A clinical trial design that allows for prospectively planned modifications to one or more aspects of the design based on accumulating data from subjects in the trial. [Adaptive Designs for Clinical Trials of Drugs and Biologics Guidance for Industry, FDA] See also master protocol.","C98704","","Adaptive Design"
"37360","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142382","","","adequate and well-controlled studies","Studies used to support drug marketing authorization and intended to provide substantial evidence of effectiveness required by law to support a conclusion that a drug is effective. NOTE: For additional information see COA glossary of terms. [After 1. FDA Clinical Outcome Assessment (COA) Glossary; 2. 21 CFR 314.126]","C142382","","Adequate and Well-controlled Study"
"37361","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142383","","","administrable dosage form","Pharmaceutical dose form for administration to the patient, after any necessary transformation of the manufactured items and their corresponding manufactured dose forms has been carried out. [After ISO 11615 Identification of medicinal products-Data elements and structures for the unique identification and exchange of regulated medicinal product information, Second edition 2017-10] See also route of administration, administration (substance).","C142383","","Administrable Dosage Form"
"37362","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C25409","","","administration (substance)","The act of introducing a substance into or onto the body. See also route of administration, administrable dosage form.","C25409","","Administration"
"37363","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142384","","","admission criteria","Basis for selecting target population for a clinical trial. Subjects must be screened to ensure that their characteristics match a list of admission criteria and that none of their characteristics match any single one of the exclusion criteria set up for the study. See also inclusion criteria, exclusion criteria.","C142384","","Admission Criteria"
