"id:ID","uri","name","description","ecrf_link"
"51312","http://id.d4k.dk/dataset/study/1/SD001","ALAT","",""
"51313","http://id.d4k.dk/dataset/study/1/SD002","ASAT","",""
"51314","http://id.d4k.dk/dataset/study/1/SD003","ERY","Erythrocytes",""
"51315","http://id.d4k.dk/dataset/study/1/SD004","WBC","White blood cell count",""
"51316","http://id.d4k.dk/dataset/study/1/SD005","DOSDATE","Date of investigational drug administration",""
"51317","http://id.d4k.dk/dataset/study/1/SD006","WGHT","Weight",""
"51318","http://id.d4k.dk/dataset/study/1/SD007","AGE","Age",""
"51319","http://id.d4k.dk/dataset/study/1/SD008","OAS","Oncology Assessment Scale",""
"51320","http://id.d4k.dk/dataset/study/1/SD009","DPS","Disease Progression Scale",""
"51321","http://id.d4k.dk/dataset/study/1/SD010","TSO","Time since onset",""
"51322","http://id.d4k.dk/dataset/study/1/SD011","HGT","Height",""
"51323","http://id.d4k.dk/dataset/study/1/SD012","QTc","QTc interval",""
"51324","http://id.d4k.dk/dataset/study/1/SD013","ST","St-segment",""
"51325","http://id.d4k.dk/dataset/study/1/SD014","WBC_DIP","WBC dipstick",""
"51326","http://id.d4k.dk/dataset/study/1/SD015","HCG","Serum HCG",""
"51327","http://id.d4k.dk/dataset/study/1/SD016","SBP","Systolic blood pressure",""
"51328","http://id.d4k.dk/dataset/study/1/SD017","DBP","Diastolic Blood Pressure",""
