"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"38143","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587","Biological Sample Attribute Terminology","False","Biological Sample Attribute Terminology","A terminology value set relevant to the attributes of the biological sample.","C179587","Biological Sample Attribute Terminology","CDISC Protocol Biological Sample Attribute Terminology"
"38144","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C179744","","","Biological Sample Accountability","The activities describing the documentation of the storage, inventory tracking, and disposition of the biological sample.","C179744","","Biospecimen Handling Accountability Record"
"38145","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C70700","","","Biological Sample Collection Method","A description of the methodology by which biological material is obtained from a subject.","C70700","","Biospecimen Collection Method"
"38146","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C178869","","","Biological Sample Collection Timing","A description of the timing for the collection of a biological sample, in relation to a study-specific event or time period.","C178869","","Biospecimen Collection Time"
"38147","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C70945","","","Biological Sample Collection","The activities describing biological sample collection, such as specimen type, timing and methodology.","C70945","","Biospecimen Collection"
"38148","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C179745","","","Biological Sample Handling","A description of the management of biological sample handling, including methods of collection, processing, shipping, and storage.","C179745","Biospecimen Handling;Handling of Biological Samples;Handling of Biological Specimens","Biospecimen Handling"
"38149","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C179746","","","Biological Sample Preparation","The activities describing how the biological sample is made ready for storage, processing, and/or analysis.","C179746","","Biospecimen Preparation"
"38150","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C181231","","","Biological Sample Retention","A textual description as to whether and/or how biological samples are retained for research purposes.","C181231","Biospecimen Retention","Biological Sample Retention Description"
"38151","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C179747","","","Biological Sample Shipping","The activities describing the logistical considerations for transporting a biological sample from the sender to the receiver.","C179747","Biological Sample Shipment;Biological Sample Transport","Biospecimen Shipping"
"38152","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587-C179748","","","Biological Sample Storage","The activities describing the physical or environmental conditions under which the biological sample is maintained.","C179748","","Biospecimen Storage"
