"id:ID","uri","rule_desc"
"51175","http://id.d4k.dk/dataset/study/1/RULE1","6 weeks prior to start treatment"
"51176","http://id.d4k.dk/dataset/study/1/RULE2","Start of treatment"
"51177","http://id.d4k.dk/dataset/study/1/RULE3","Start of treatment"
"51178","http://id.d4k.dk/dataset/study/1/RULE4","End of last treatment day"
"51179","http://id.d4k.dk/dataset/study/1/RULE5","Start of treatment"
"51180","http://id.d4k.dk/dataset/study/1/RULE6","End of last treatment day"
"51181","http://id.d4k.dk/dataset/study/1/RULE7","End of last treatment day"
"51182","http://id.d4k.dk/dataset/study/1/RULE8","Last follow-up measurement"
"51183","http://id.d4k.dk/dataset/study/1/RULE09","-D5"
"51184","http://id.d4k.dk/dataset/study/1/RULE10","-D3"
"51185","http://id.d4k.dk/dataset/study/1/RULE11","-D1"
"51186","http://id.d4k.dk/dataset/study/1/RULE12","D1"
"51187","http://id.d4k.dk/dataset/study/1/RULE13","D3"
"51188","http://id.d4k.dk/dataset/study/1/RULE14","D5"
"51189","http://id.d4k.dk/dataset/study/1/RULE15","D1"
"51190","http://id.d4k.dk/dataset/study/1/RULE16","D3"
"51191","http://id.d4k.dk/dataset/study/1/RULE17","D1"
"51192","http://id.d4k.dk/dataset/study/1/RULE18","D4"
"51193","http://id.d4k.dk/dataset/study/1/RULE19","W2"
"51194","http://id.d4k.dk/dataset/study/1/RULE20","W4"
"51195","http://id.d4k.dk/dataset/study/1/RULE21","-D5"
"51196","http://id.d4k.dk/dataset/study/1/RULE22","-D3"
"51197","http://id.d4k.dk/dataset/study/1/RULE23","-D1"
"51198","http://id.d4k.dk/dataset/study/1/RULE24","D1"
"51199","http://id.d4k.dk/dataset/study/1/RULE25","D3"
"51200","http://id.d4k.dk/dataset/study/1/RULE26","D5"
"51201","http://id.d4k.dk/dataset/study/1/RULE27","D1"
"51202","http://id.d4k.dk/dataset/study/1/RULE28","D3"
"51203","http://id.d4k.dk/dataset/study/1/RULE29","D1"
"51204","http://id.d4k.dk/dataset/study/1/RULE30","D4"
"51205","http://id.d4k.dk/dataset/study/1/RULE31","W2"
"51206","http://id.d4k.dk/dataset/study/1/RULE32","W4"
