"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"38518","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118","Age Estimation Method Response","true","AGESMETH","Terminology related to the method by which the age of an individual is determined through estimation.","C158118","Age Estimation Method Response","CDISC SEND Age Estimation Method Response Terminology"
"38519","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118-C158324","","","ANIMAL RECORDS","Information obtained from medical records, acquisition records, or other official documentation associated with the animal.","C158324","","Animal Record Information"
"38520","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118-C158323","","","DENTAL EXAM","A systematic evaluation of the mouth, face, and neck, which may include tooth counting, cleaning and visual assessment.","C158323","","Dental Examination"
"38521","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118-C20989","","","PHYSICAL EXAMINATION","A systemic evaluation of the body and its functions using visual inspection, palpation, percussion and auscultation.","C20989","Physical Exam","Physical Examination"
"38522","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118-C128940","","","RADIOGRAPHY","A radiographic procedure using the emission of penetrating energy waves to form an image of the structure.","C128940","Radiographic Exam","Radiographic Examination"
"38523","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118-C17998","","","UNKNOWN","Not known, not observed, not recorded, or refused. (NCI)","C17998","U;UNK;Unknown","Unknown"
"38524","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781","Age Unit","false","AGEU","Those units of time that are routinely used to express the age of a subject.","C66781","Age Unit","CDISC SDTM Age Unit Terminology"
"38525","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781-C25301","","","DAYS","A unit of measurement of time equal to 24 hours.","C25301","","Day"
"38526","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781-C25529","","","HOURS","A unit of measurement of time equal to 60 minutes.","C25529","h;Hours;hr","Hour"
"38527","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781-C29846","","","MONTHS","One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks. (NCI)","C29846","Month","Month"
