"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"36939","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418","Concomitant Medication Dose Form","true","CMDOSFRM","A terminology subset of the CDISC SDTM Pharmaceutical Dosage Form codelist created for CDASH Concomitant Medication Dose Form codelist. (NCI)","C78418","Concomitant Medication Dose Form","CDISC CDASH Concomitant Medication Dose Form Terminology"
"36940","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42887","","","AEROSOL","A product that is packaged under pressure and contains therapeutically active ingredients that are released upon activation of an appropriate valve system; it is intended for topical application to the skin as well as local application into the nose (nasal aerosols), mouth (lingual aerosols), or lungs (inhalation aerosols).","C42887","aer","Aerosol Dosage Form"
"36941","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C25158","","","CAPSULE","A solid pharmaceutical dosage form that contains medicinal agent within either a hard or soft soluble container or shell, usually used for the oral administration of medicine. The shells are made of a suitable form of gelatin or other substance. (NCI)","C25158","cap","Capsule Dosage Form"
"36942","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C28944","","","CREAM","A semisolid emulsion of either the oil-in-water or the water-in-oil type, ordinarily intended for topical use. (NCI)","C28944","","Cream Dosage Form"
"36943","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42933","","","GAS","Any elastic aeriform fluid in which the molecules are separated from one another and have free paths. (NCI)","C42933","","Gas Dosage Form"
"36944","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42934","","","GEL","A semisolid (1) dosage form that contains a gelling agent to provide stiffness to a solution or a colloidal dispersion (2). A gel may contain suspended particles. Note 1: A semisolid is not pourable; it does not flow or conform to its container at room temperature. It does not flow at low shear stress and generally exhibits plastic flow behavior. Note 2: A colloidal dispersion is a system in which particles of colloidal dimension (i.e., typically between 1 nm and 1 micrometer) are distributed uniformly throughout a liquid.","C42934","","Gel Dosage Form"
"36945","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42966","","","OINTMENT","A suspension or emulsion, semisolid (1) dosage form, usually containing less than 20 percent water and volatiles (2) and greater than 50 percent hydrocarbons, waxes, or polyols as the vehicle. This dosage form is generally for external application to the skin or mucous membranes. Note 1: A semisolid is not pourable; it does not flow or conform to its container at room temperature. It does not flow at low shear stress and generally exhibits plastic flow behavior. Note 2: Percent water and volatiles are measured by a loss on drying test in which the sample is heated at 105 degrees C until constant weight is achieved.","C42966","oint","Ointment Dosage Form"
"36946","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42968","","","PATCH","A drug delivery system that often contains an adhesive backing that is usually applied to an external site on the body. Its ingredients either passively diffuse from, or are actively transported from, some portion of the patch. Depending upon the patch, the ingredients are either delivered to the outer surface of the body or into the body. A patch is sometimes synonymous with the terms Extended Release Film and System.","C42968","","Patch Dosage Form"
"36947","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42972","","","POWDER","An intimate mixture of dry, finely divided drugs and/or chemicals that may be intended for internal or external use. (NCI)","C42972","","Powder Dosage Form"
"36948","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42989","","","SPRAY","A liquid minutely divided as by a jet of air or steam. (NCI)","C42989","","Spray Dosage Form"
"36949","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42993","","","SUPPOSITORY","A solid body of various weights and shapes, adapted for introduction into the rectal, vaginal, or urethral orifice of the human body; they usually melt, soften, or dissolve at body temperature.","C42993","supp","Suppository Dosage Form"
"36950","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42994","","","SUSPENSION","A liquid dosage form that contains solid particles dispersed in a liquid vehicle. Note: A liquid is pourable; it flows and conforms to its container at room temperature. It displays Newtonian or pseudoplastic flow behavior.","C42994","Ready to Use Suspension;susp","Suspension Dosage Form"
"36951","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418-C42998","","","TABLET","A solid dosage form containing medicinal substances with or without suitable diluents. (NCI)","C42998","tab","Tablet Dosage Form"
"36952","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417","Concomitant Medication Dose Units","true","CMDOSU","A terminology subset of the CDISC SDTM Unit codelist created for CDASH Concomitant Medication Dose Units codelist. (NCI)","C78417","Concomitant Medication Dose Units","CDISC CDASH Concomitant Medication Dose Units Terminology"
"36953","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C48480","","","CAPSULE","A dosing measurement based on the capsule unit.(NCI)","C48480","cap;Capsule Dosing Unit","Capsule Dosing Unit"
"36954","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C48155","","","g","A unit of mass equal to one thousandth (1E-3) of a kilogram, the kilogram being the base unit of mass in the International System of Units (SI).","C48155","Gram","Gram"
"36955","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C48579","","","IU","The unitage assigned by the WHO (World Health Organization) to International Biological Standards - substances, classed as biological according to the criteria provided by WHO Expert Committee on Biological Standardization, to enable the results of biological and immunological assay procedures to be expressed in the same way throughout the world. The definition of an international unit is generally arbitrary and technical, and has to be officially approved by the International Conference for Unification of Formulae.(NCI)","C48579","IE;International Unit","International Unit"
"36956","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C28253","","","mg","A unit of mass equal to one thousandth (1E-3) of a gram.","C28253","Milligram","Milligram"
"36957","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C28254","","","mL","A unit of volume equal to one thousandth (1E-3) of a liter.","C28254","cm3;Milliliter","Milliliter"
"36958","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C65060","","","PUFF","A means of delivering a defined dose of a therapeutic aerolized solution into either the upper or lower respiratory tract. Metered-dose inhalers or spray pumps are devices that provide a puff dose for delivery into either the oral or the nasal cavity.(NCI)","C65060","Puff Dosing Unit","Puff Dosing Unit"
"36959","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C48542","","","TABLET","A dosing measurement based on the tablet unit.(NCI)","C48542","tab;Tablet Dosing Unit","Tablet Dosing Unit"
"36960","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417-C48152","","","ug","A unit of mass equal to one millionth (1E-6) of a gram.","C48152","mcg;Microgram","Microgram"
