"id:ID","alt_label","definition","extensible","identifier","label","notation","pref_label","uri"
"1104","Concomitant Medication Dose Form","A terminology subset of the CDISC SDTM Pharmaceutical Dosage Form codelist created for CDASH Concomitant Medication Dose Form codelist. (NCI)","true","C78418","Concomitant Medication Dose Form","CMDOSFRM","CDISC CDASH Concomitant Medication Dose Form Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418"
"1105","Concomitant Medication Dose Units","A terminology subset of the CDISC SDTM Unit codelist created for CDASH Concomitant Medication Dose Units codelist. (NCI)","true","C78417","Concomitant Medication Dose Units","CMDOSU","CDISC CDASH Concomitant Medication Dose Units Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417"
"1106","Concomitant Medication Dosing Frequency per Interval","A terminology subset of the CDISC SDTM Frequency codelist created for CDASH Concomitant Medication Dosing Frequency per Interval codelist. (NCI)","true","C78419","Concomitant Medication Dosing Frequency per Interval","CMDOSFRQ","CDISC CDASH Concomitant Medication Dosing Frequency per Interval Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78419"
"1107","Concomitant Medication Route of Administration","A terminology subset of the CDISC SDTM Route codelist created for CDASH Concomitant Medication Route of Administration codelist. (NCI)","true","C78420","Concomitant Medication Route of Administration","CMROUTE","CDISC CDASH Concomitant Medication Route of Administration Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78420"
"1108","ECG Original Units","A terminology subset of the CDISC SDTM Unit codelist created for CDASH ECG Original Units codelist. (NCI)","true","C78422","ECG Original Units","EGORRESU","CDISC CDASH ECG Original Units Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78422"
"1109","Ethnicity As Collected","A terminology codelist relevant to the ethnicity of an individual as collected on the case report form.","true","C128690","Ethnicity As Collected","ETHNICC","CDISC SDTM Collected Ethnicity Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C128690"
"1110","Exposure Dose Form","A terminology subset of the CDISC SDTM Pharmaceutical Dosage Form codelist created for CDASH Exposure Dose Form codelist. (NCI)","true","C78426","Exposure Dose Form","EXDOSFRM","CDISC CDASH Exposure Dose Form Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78426"
"1111","Exposure Dosing Frequency per Interval","A terminology subset of the CDISC SDTM Frequency codelist created for CDASH Exposure Dosing Frequency per Interval codelist. (NCI)","true","C78745","Exposure Dosing Frequency per Interval","EXDOSFRQ","CDISC CDASH Exposure Dosing Frequency per Interval Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78745"
"1112","Exposure Route of Administration","A terminology subset of the CDISC SDTM Route codelist created for CDASH Exposure Route of Administration codelist. (NCI)","true","C78425","Exposure Route of Administration","EXROUTE","CDISC CDASH Exposure Route of Administration Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78425"
"1113","Mode of Delivery","A terminology codelist relevant to the mode of delivery of a fetus or neonate.","true","C181165","Mode of Delivery","MODDLV","CDISC SDTM Mode of Delivery Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C181165"
"1114","Race As Collected","A terminology codelist relevant to the race of an individual as collected on the case report form.","true","C128689","Race As Collected","RACEC","CDISC SDTM Collected Race Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C128689"
"1115","Serious Adverse Event Report Category","Terminology relevant to the classification of a serious adverse event report.","false","C177909","Serious Adverse Event Report Category","SAERCAT","CDISC CDASH Serious Adverse Event Report Category Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C177909"
"1116","Study Agent Dechallenge Reaction Response","A terminology codelist relevant to the resultant reaction due to withdrawing, interrupting, or otherwise altering administration of study treatment.","true","C181164","Study Agent Dechallenge Reaction Response","SADCRR","CDISC CDASH Study Agent Dechallenge Reaction Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C181164"
