"id:ID","uri","endpoint_desc","outcome_level","endpoint_purpose"
"1828","http://id.d4k.dk/dataset/study/1/E001","Disease control rate of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","PRIMARY","EFFICACY"
"1829","http://id.d4k.dk/dataset/study/1/E002","Disease control rate of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","PRIMARY","EFFICACY"
"1830","http://id.d4k.dk/dataset/study/1/E003","Overall response rate of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1831","http://id.d4k.dk/dataset/study/1/E004","progression-free survival of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1832","http://id.d4k.dk/dataset/study/1/E005","duration of response of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","PHARMACODYNAMIC"
"1833","http://id.d4k.dk/dataset/study/1/E006","overall survival of response of AZD6738 + Durvalumab cohort [ Time Frame: every 12 weeks until death or up to 5 years ]","SECONDARY","EFFICACY"
"1834","http://id.d4k.dk/dataset/study/1/E007","Safety and tolerability of AZD6738 + Durvalumab cohort measured by number and grade of toxicity events [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","SAFETY"
"1835","http://id.d4k.dk/dataset/study/1/E008","quality of life measurement of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1836","http://id.d4k.dk/dataset/study/1/E009","overall response rate (ORR) of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1837","http://id.d4k.dk/dataset/study/1/E010","progression-free survival of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1838","http://id.d4k.dk/dataset/study/1/E011","duration of response of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","PHARMACODYNAMIC"
"1839","http://id.d4k.dk/dataset/study/1/E012","overall survival of AZD6738 + Olaparib cohort [ Time Frame: every 12 weeks until death or up to 5 years ]","SECONDARY","EFFICACY"
"1840","http://id.d4k.dk/dataset/study/1/E013","Safety and tolerability of AZD6738 + Olaparib cohort as measured by number and grade of toxicity events [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","SAFETY"
"1841","http://id.d4k.dk/dataset/study/1/E014","quality of life measurement of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
