"id:ID","alt_label","definition","extensible","identifier","label","notation","pref_label","uri"
"1181","Age Estimation Method Response","Terminology related to the method by which the age of an individual is determined through estimation.","true","C158118","Age Estimation Method Response","AGESMETH","CDISC SEND Age Estimation Method Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158118"
"1182","Age Unit","Those units of time that are routinely used to express the age of a subject.","false","C66781","Age Unit","AGEU","CDISC SDTM Age Unit Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781"
"1183","Anatomical Location","Terminology codelist used for anatomical location within CDISC.","true","C74456","Anatomical Location","LOC","CDISC SDTM Anatomical Location Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456"
"1184","Biological Challenge Agent Category Response","Terminology related to classifications that describe and group the biological challenge agent.","true","C158119","Biological Challenge Agent Category Response","BACAT","CDISC SEND Biological Challenge Agent Category Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158119"
"1185","Body Irradiation Model Response","Terminology related to the body irradiation model used in the study.","true","C160927","Body Irradiation Model Response","BIRRMRS","CDISC SEND Body Irradiation Model Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C160927"
"1186","Body System","The terminology that includes concepts relevant to anatomical structure that consists of organs and organ subclasses responsible for certain body functions.","true","C88026","Body System","BODSYS","CDISC SEND Body System Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C88026"
"1187","Body Weight Gain Test Code","Terminology for the test codes concerned with the increase in overall body mass.","true","C89960","Body Weight Gain Test Code","BGTESTCD","CDISC SEND Body Weight Gain Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89960"
"1188","Body Weight Gain Test Name","Terminology for the test names concerned with the increase in overall body mass.","true","C89959","Body Weight Gain Test Name","BGTEST","CDISC SEND Body Weight Gain Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89959"
"1189","Body Weight Test Code","Terminology for the test codes concerned with the measurement of body mass.","true","C89962","Body Weight Test Code","BWTESTCD","CDISC SEND Body Weight Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89962"
"1190","Body Weight Test Name","Terminology for the test names concerned with the measurement of body mass.","true","C89961","Body Weight Test Name","BWTEST","CDISC SEND Body Weight Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89961"
"1191","Category for Clinical Observation","Terminology related to classifications that describe and group clinical observations.","true","C89963","Category for Clinical Observation","CLCAT","CDISC SEND Category for Clinical Observation Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89963"
"1192","CDISC Define-XML Specification Version","Terminology related to the version of the Define-XML specification that is in use for the study.","true","C177911","CDISC Define-XML Specification Version","DFXMLVER","CDISC Define-XML Specification Version Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C177911"
"1193","Challenge Agent Category Response","Terminology related to classifications that describe and group the challenge agent.","true","C158120","Challenge Agent Category Response","CAGTCAT","CDISC SEND Challenge Agent Category Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158120"
"1194","Challenge Agent Parameter Code","Terminology related to the parameter codes of the challenge agent characteristics within a study.","true","C158116","Challenge Agent Parameter Code","ACPARMCD","CDISC SEND Challenge Agent Parameter Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158116"
"1195","Challenge Agent Parameter Long Name","Terminology related to the parameter names of the challenge agent characteristics within a study.","true","C158117","Challenge Agent Parameter Long Name","ACPARM","CDISC SEND Challenge Agent Parameter Long Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C158117"
"1196","Chemical Challenge Agent Name Response","Terminology related to the names of chemical challenge agents.","true","C160930","Chemical Challenge Agent Name Response","CHAGNAMR","CDISC SEND Chemical Challenge Agent Name Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C160930"
"1197","Chronicity","Terminology relevant to the relative duration of a finding.","true","C120529","Chronicity","CHRNCTY","CDISC SEND Chronicity Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C120529"
"1198","Consciousness State","Terminology related to the sense of awareness of self and of the environment.","true","C90018","Consciousness State","CSTATE","CDISC SEND Consciousness State Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C90018"
"1199","Country","A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states. (NCI)","false","C66786","Country","COUNTRY","CDISC SEND Country Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66786"
"1200","Death Diagnosis Test Code","Terminology for the test codes concerned with the circumstance or condition that results in the death of a living being.","false","C89966","Death Diagnosis Test Code","DDTESTCD","CDISC SEND Death Diagnosis Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89966"
"1201","Death Diagnosis Test Name","Terminology for the test names concerned with the circumstance or condition that results in the death of a living being.","false","C89965","Death Diagnosis Test Name","DDTEST","CDISC SEND Death Diagnosis Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89965"
"1202","Directionality","CDISC terminology for anatomical location or specimen further detailing directionality.","true","C99074","Directionality","DIR","CDISC SDTM Directionality Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C99074"
"1203","Distribution","Terminology relevant to the distribution of a finding within a specimen.","true","C120530","Distribution","DSTRBN","CDISC SEND Distribution Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C120530"
"1204","ECG Lead","Terminology related to electrocardiogram lead names.","true","C90013","ECG Lead","EGLEAD","CDISC SDTM Electrocardiogram Lead Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C90013"
"1205","ECG Result","Terminology codelist used with ECG Findings and Abnormalities within CDISC.","true","C71150","ECG Result","EGSTRESC","CDISC SDTM ECG Finding Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C71150"
"1206","ECG Test Code","Terminology codelist used with ECG Tests within CDISC.","true","C71153","ECG Test Code","EGTESTCD","CDISC SDTM ECG Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C71153"
"1207","ECG Test Method","Terminology codelist used with ECG Test Methods within CDISC.","true","C71151","ECG Test Method","EGMETHOD","CDISC SDTM ECG Test Method Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C71151"
"1208","ECG Test Name","Terminology codelist used with ECG Test Names within CDISC.","true","C71152","ECG Test Name","EGTEST","CDISC SDTM ECG Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C71152"
"1209","Expected Onset of Rad/Nuc Targeted Injury Response","Terminology related to the relative timing of the expected onset of the targeted injury, with respect to rad/nuc challenge agent exposure.","true","C160929","Expected Onset of Rad/Nuc Targeted Injury Response","EORNTI","CDISC SEND Expected Onset of Rad/Nuc Targeted Injury Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C160929"
"1210","Fetal Measurement Test Code","Terminology for the test code relevant to fetal measurements.","true","C124311","Fetal Measurement Test Code","FMTESTCD","CDISC SEND Fetal Measurement Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C124311"
"1211","Fetal Measurement Test Name","Terminology for the test name relevant to fetal measurements.","true","C124312","Fetal Measurement Test Name","FMTEST","CDISC SEND Fetal Measurement Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C124312"
"1212","Fetal Pathology Findings Result","Terminology relevant to the results for fetal gross pathological findings.","true","C124310","Fetal Pathology Findings Result","FXFINDRS","CDISC SEND Fetal Pathology Findings Result Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C124310"
"1213","Fetal Pathology Findings Result Category","Terminology relevant to the classifications of the results for fetal pathology findings.","true","C124313","Fetal Pathology Findings Result Category","FXRESCAT","CDISC SEND Fetal Pathology Findings Result Category Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C124313"
"1214","Fetal Pathology Findings Test Code","Terminology for the test codes relevant to fetal pathology findings.","true","C124314","Fetal Pathology Findings Test Code","FXTESTCD","CDISC SEND Fetal Pathology Findings Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C124314"
"1215","Fetal Pathology Findings Test Name","Terminology for the test names relevant to fetal pathology findings.","true","C124315","Fetal Pathology Findings Test Name","FXTEST","CDISC SEND Fetal Pathology Findings Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C124315"
"1216","Food and Water Consumption Test Code","Terminology for the test codes concerned with the subject's consumption of food and/or water.","true","C89970","Food and Water Consumption Test Code","FWTESTCD","CDISC SEND Food and Water Consumption Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89970"
"1217","Food and Water Consumption Test Name","Terminology for the test names concerned with the subject's consumption of food and/or water.","true","C89969","Food and Water Consumption Test Name","FWTEST","CDISC SEND Food and Water Consumption Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C89969"
