"id","alt_label","definition","identifier","notation","pref_label","uri"
"3942","","The spinous process of the 5th lumbar vertebra.","C116163","5TH LUMBAR SPINOUS PROCESS","Fifth Lumbar Spinous Process","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C116163"
"3943","","The portion of the descending aorta that lies within the abdomen, beginning below the diaphragm and ending at its division into the right and left common iliac arteries. (NCI)","C32038","ABDOMINAL AORTA","Abdominal Aorta","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32038"
"3944","Abdomen","The body cavity between the thoracic and pelvic cavities in mammals.","C12664","ABDOMINAL CAVITY","Abdomen","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12664"
"3945","","Any lymph node within the abdomen.","C12360","ABDOMINAL LYMPH NODE","Intra-Abdominal Lymph Node","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12360"
"3946","","Any portion of the body that lies within the boundary, either internally or externally, of the abdomen: superior margin, the thorax; inferior margin, the pelvis; lateral margins, the ribs.","C139186","ABDOMINAL REGION","Abdominal Region","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C139186"
"3947","Abdominal Skin","The integument that covers the abdomen.","C52758","ABDOMINAL SKIN","Abdominal Skin","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C52758"
"3948","","The tissue that surrounds the organs present in the abdominal cavity.","C77608","ABDOMINAL WALL","Abdominal Wall","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C77608"
"3949","","The sixth cranial nerve.","C12665","ABDUCENS NERVE","Abducens Nerve","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12665"
"3950","","A muscle of the hand, in general extending from the pisiform bone, the pisohamate ligament, and the flexor retinaculum to the ulnopalmar margin of the proximal phalanx. Primary function is abduction of the little finger and flexion of the phalanx nearest the hand.","C165996","ABDUCTOR DIGITI MINIMI MUSCLE OF THE HAND","Abductor Digiti Minimi Muscle of the Hand","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C165996"
"3951","Abductor Digiti Minimi;Abductor Minimi Digiti","A muscle in the foot, in general extending from the medial and lateral processes of the posterior calcaneal tuberosity to the lateral side of the base of the proximal phalanx of the fifth toe and the fifth metatarsal; primary function is to abduct the fifth toe at the metatarsophalangeal joint and support the lateral arch.","C163504","ABDUCTOR DIGITI QUINTI MUSCLE","Abductor Digiti Minimi Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163504"
"3952","","A muscle in the foot, in general extending from the medial process of the posterior calcaneal tuberosity to the medial side of the base of the proximal phalanx of the big toe; primary function is to abduct and flex the big toe at the metatarsophalangeal joint.","C163505","ABDUCTOR HALLUCIS MUSCLE","Abductor Hallucis Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163505"
"3953","","A muscle of the hand, in general extending from the flexor retinaculum and the tubercles of the scaphoid and trapezium bones to the outer side of the base of the proximal phalanx of the thumb. Primary function is abduction of the thumb away from the palm.","C165997","ABDUCTOR POLLICIS BREVIS MUSCLE","Abductor Pollicis Brevis Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C165997"
"3954","","An additional renal vessel originating from the aorta and entering the kidney at the proximal or distal end of the organ. Accessory renal arteries are found in 26-30% of humans.","C116183","ACCESSORY RENAL ARTERY","Accessory Renal Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C116183"
"3955","Acetabulum","Two cup shaped areas, one each on the lateral side of the lower pelvis that house the head of the femur to form the ball and socket joint of the hip. (NCI)","C32042","ACETABULUM","Acetabulum","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32042"
"3956","","The tendon that, in general, attaches the gastrocnemius muscle to the calcaneous bone in the tarsus.","C32043","ACHILLES TENDON","Achilles Tendon","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32043"
"3957","Acromioclavicular Joint","The junction of the upper distal end of the scapula to the distal edge of the collarbone, also known as the acromion and the clavicle. (NCI)","C32047","ACROMIOCLAVICULAR JOINT","Acromioclavicular Joint","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32047"
"3958","Acromion","The upper distal process of the scapula. (NCI)","C32048","ACROMION","Acromion","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32048"
"3959","ACUTE MARGINAL ARTERY SEGMENT(S);AMARG","The arteries that arise at the junction of the proximal and mid-right coronary artery conduit segments.","C102285","ACUTE MARGINAL ARTERY","Acute Marginal Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C102285"
"3960","","A muscle in the leg, in general extending from the external surface of the body of pubis and the anterior surface of the inferior pubic ramus to the pectineal line and the medial lip of the linea aspera; primary function is to adduct, flex, and rotate the thigh.","C163506","ADDUCTOR BREVIS MUSCLE","Adductor Brevis Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163506"
"3961","","The larger of two heads of the adductor hallucis muscle, in general originating from the sheath of the peroneus longus tendon and the plantar surface of the bases of the second to fourth metatarsal bones in the foot.","C163507","ADDUCTOR HALLUCIS MUSCLE, OBLIQUE HEAD","Oblique Head of Adductor Hallucis Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163507"
"3962","","The smaller of two heads of the adductor hallucis muscle, in general originating from the deep transverse metatarsal ligament and the plantar surface of the metatarsophalangeal joints of the lateral three toes.","C163508","ADDUCTOR HALLUCIS MUSCLE, TRANSVERSE HEAD","Transverse Head of Adductor Hallucis Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163508"
"3963","","A muscle in the thigh, in general extending from the external surface of the body of pubis to the middle third of the linea aspera; primary function is to adduct and medially rotate the thigh.","C163509","ADDUCTOR LONGUS MUSCLE","Adductor Longus Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163509"
"3964","","A muscle in the thigh, in general extending from the ischiopubic ramus and ischial tuberosity to the gluteal tuberosity of the femur, medial lip of the linea aspera, medial supracondylar ridge, and adductor tubercle; primary function is to adduct, flex, extend, and medially rotate the thigh at the hip joint.","C163510","ADDUCTOR MAGNUS MUSCLE","Adductor Magnus Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C163510"
"3965","","A skeletal muscle of the forearm originating from the posterior surfaces of the ulna and radius and the interosseous membrane. (NCI)","C52888","ADDUCTOR POLLICIS MUSCLE","Abductor Pollicis Longus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C52888"
"3966","","The endocrine glands adjacent to the kidneys that consist of the outer adrenal cortex and the inner adrenal medulla in mammals.","C12666","ADRENAL GLAND","Adrenal Gland","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12666"
"3967","Alveoli","Any of the terminal sacs in the lungs through which gas exchange takes place with the pulmonary capillary blood.","C12986","ALVEOLUS","Alveolus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12986"
"3968","Amygdala;Amygdaloid Body;Amygdaloid Nucleus","A group of nuclei adjacent to the lateral ventricle of the brain within the temporal lobe, and is part of the limbic system.","C12440","AMYGDALA","Amygdala","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12440"
"3969","","The terminal section of the alimentary canal, which extends from the anorectal junction and ends at the anal opening. (NCI)","C12375","ANAL CANAL","Anal Canal","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12375"
"3970","","The transitional zone between the moist, hairless, modified skin of the anal canal and the perianal skin.","C25419","ANAL VERGE","Anal Margin","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C25419"
"3971","Anastomosis","A natural or surgically-induced connection between tubular structures in the body. (NCI)","C15609","ANASTOMOSIS","Anastomosis","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C15609"
"3972","","A ridge on the posterior part of the inferior parietal lobule.","C32077","ANGULAR GYRUS","Angular Gyrus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32077"
"3973","","The tendons in the anterior compartment of the leg that cross the tibiotalar joint anteriorly and connect muscles that originate on the surfaces of the tibia and fibula to bones in the toes, enabling dorsiflexion of the foot at the ankle and extension of the toes. (NCI)","C161390","ANKLE JOINT ANTERIOR EXTENSOR TENDONS","Ankle Joint Anterior Extensor Tendons","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C161390"
"3974","","The tendons in the anterior compartment of the leg that connect muscles that originate on the surfaces of the femur, tibia, and fibula to bones in the toes, enabling plantar flexion of the foot at the ankle. (NCI)","C161389","ANKLE JOINT ANTERIOR FLEXOR TENDONS","Ankle Joint Anterior Flexor Tendons","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C161389"
"3975","Ankle;Ankle Joint","A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus. (NCI)","C32078","ANKLE JOINT","Ankle Joint","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32078"
"3976","Talar Mortise","A rectangular socket or bony arch that connects the ends of the tibia and fibula to the talus.","C117868","ANKLE MORTISE","Ankle Mortise","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C117868"
"3977","","A triangular space on the anterior side of the elbow joint. Three main veins of the arm, the brachial artery, the medial nerve and the tendon of the biceps muscle pass through this space.","C103238","ANTECUBITAL FOSSA","Antecubital Fossa","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C103238"
"3978","","The part of the cingulate cortex that lies most frontal, with the most anterior portion of the cortex bending in a horseshoe shape around the genu of the corpus callosum.","C139185","ANTERIOR CINGULATE CORTEX","Anterior Cingulate Cortex","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C139185"
"3979","","The part of the cingulate gyrus that lies inferior to the superior frontal gyrus, and is separated from it by the cingulate sulcus; it ends inferior to the rostrum of the corpus callosum.","C96217","ANTERIOR CINGULATE GYRUS","Cingulate Gyrus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C96217"
"3980","Frontal Horn of the Lateral Ventricle","The part of the lateral ventricle located in the frontal lobe, anterior to the interventricular foramen of Monroe, and bounded by the septum pellucidum, fornix, and genu of the corpus callosum.","C32637","ANTERIOR HORN OF THE LATERAL VENTRICLE","Frontal Horn of the Lateral Ventricle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32637"
"3981","AICA","A basilar artery branch that supplies the anterior portion of the inferior surface of the cerebellum.","C32091","ANTERIOR INFERIOR CEREBELLAR ARTERY","Anterior Inferior Cerebellar Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32091"
"3982","","A bony projection from the anterior region of the iliac crest, and is the site of attachment for the sartorius and tensor fascia latae muscles and the inguinal ligament.","C139187","ANTERIOR SUPERIOR ILIAC SPINE","Anterior Superior Iliac Spine","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C139187"
"3983","","An artery of the lower extremity that supplies blood to the anterior part of the leg and the foot.","C12825","ANTERIOR TIBIAL ARTERY","Anterior Tibial Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12825"
"3984","","The vein that runs parallel to the anterior tibial artery and empties into the popliteal vein.","C32115","ANTERIOR TIBIAL VEIN","Anterior Tibial Vein","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32115"
"3985","Antrum Pylori","The initial part of the pyloric canal of the stomach. This site contains endocrine cells that produce gastrin and somatostatin. (NCI)","C12259","ANTRUM PYLORI","Antrum Pylori","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12259"
