"id:ID","alt_label","definition","extensible","identifier","label","notation","pref_label","uri"
"1082","Date Imputation Flag","Date Imputation Flag: Indicates the level of imputation reflected in a date value.","false","C81223","Date Imputation Flag","DATEFL","CDISC ADaM Date Imputation Flag Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81223"
"1083","Derivation Type","Derivation Type: Analysis value derivation method.","true","C81224","Derivation Type","DTYPE","CDISC ADaM Derivation Type Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224"
"1084","Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Code","A parameter code codelist for the Generalized Anxiety Disorder - 7 Version 2 Questionnaire (GAD-7 V2) to support the calculation of total score in ADaM.","false","C172334","Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Code","GAD02PC","CDISC ADaM Generalized Anxiety Disorder-7 Version 2 Questionnaire Parameter Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C172334"
"1085","Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Name","A parameter name codelist for the Generalized Anxiety Disorder - 7 Version 2 Questionnaire (GAD-7 V2) to support the calculation of total score in ADaM.","false","C172335","Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Name","GAD02PN","CDISC ADaM Generalized Anxiety Disorder-7 Version 2 Questionnaire Parameter Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C172335"
"1086","Geriatric Depression Scale Short Form Questionnaire Parameter Code","A parameter code codelist for the Geriatric Depression Scale Short Form questionnaire (GDS02) to support the calculation of total score in ADaM.","false","C158114","Geriatric Depression Scale Short Form Questionnaire Parameter Code","GDS02PC","CDISC ADaM Geriatric Depression Scale Short Form Questionnaire Parameter Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C158114"
"1087","Geriatric Depression Scale Short Form Questionnaire Parameter Name","A parameter name codelist for the Geriatric Depression Scale Short Form questionnaire (GDS02) to support the calculation of total score in ADaM.","false","C158115","Geriatric Depression Scale Short Form Questionnaire Parameter Name","GDS02PN","CDISC ADaM Geriatric Depression Scale Short Form Questionnaire Parameter Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C158115"
"1088","Parameter Type","Parameter Type: Indicates whether the parameter is derived as a function of one or more other parameters.","false","C81225","Parameter Type","PARAMTYP","CDISC ADaM Parameter Type Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81225"
"1089","Pool for Integration","Terminology relevant to the name of the Pool, often defined in the integrated statistical analysis plan, which identifies the combination of subjects' clinical trial experience and will be the focus of the integrated analysis.","true","C165644","Pool for Integration","POOLINT","CDISC ADaM Pool for Integration Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C165644"
"1090","Subject Trial Status","Indicates the status of the subject in the trial.","true","C124296","Subject Trial Status","SBJTSTAT","CDISC ADaM Subject Trial Status Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C124296"
"1091","Time Imputation Flag","Time Imputation Flag: Indicates the level of imputation reflected in a time value.","false","C81226","Time Imputation Flag","TIMEFL","CDISC ADaM Time Imputation Flag Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81226"
