"id","alt_label","definition","identifier","notation","pref_label","uri"
"8191","","The fluid that is abnormally collected in localized areas of damaged tissue within the body, usually composed of living and dead white blood cells, bacteria, and dead tissue.","C150890","ABSCESS FLUID","Abscess Fluid","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C150890"
"8192","Body Fat;Fat Tissue","Connective tissue consisting primarily of adipocytes (fat cells) and supporting structural matrix.","C12472","ADIPOSE TISSUE","Adipose Tissue","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C12472"
"8193","","The gas from the alveoli of the lungs.","C150891","ALVEOLAR AIR","Alveolar Air","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C150891"
"8194","Aqua Amnii","The fluid within the amniotic cavity which surrounds and protects the developing embryo. (NCI)","C13188","AMNIOTIC FLUID","Amniotic Fluid","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C13188"
"8195","Aqueous Humour","The watery fluid which is present in the anterior and posterior chambers of the eye. (NCI)","C13190","AQUEOUS HUMOR","Aqueous Humor","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C13190"
"8196","","Oxygenated blood which is transported with nutrients to body tissues through the arterial system. The exception is blood within the pulmonary artery which carries deoxygenated blood to the lungs. (NCI)","C78729","ARTERIAL BLOOD","Arterial Blood","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C78729"
"8197","","Blood present in the umbilical arteries at the time of delivery.","C120838","ARTERIAL CORD BLOOD","Arterial Cord Blood","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C120838"
"8198","","Capillary blood collected from a puncture site that has been warmed or treated with creams containing a hyperemic or vasodilatory agent to increase arterial blood flow.","C176369","ARTERIALIZED CAPILLARY BLOOD","Arterialized Capillary Blood","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C176369"
"8199","","Fatty tissue which is deposited in the inner lining of the arterial wall. (NCI)","C78739","ATHEROSCLEROTIC PLAQUE","Atherosclerotic Plaque","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C78739"
"8200","","A type of tear produced continually to keep the cornea moist; contains salts, water, and mucus.","C176366","BASAL TEAR","Basal Tear","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C176366"
"8201","","Fluid composed of waste products, bile acids, salts, cholesterol, and electrolytes. It is produced by the liver and may be stored in the gallbladder (if present).","C13192","BILE","Bile","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C78734-C13192"
