"id:ID","core","ct","described_value_domain","description","label","name","ordinal","role","simple_data_type","uri"
"1760","Req","","","Unique identifier for a study.","Study Identifier","STUDYID","1","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/studyid"
"1761","Req","","","Two-character abbreviation for the domain.","Domain Abbreviation","DOMAIN","2","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/domain"
"1762","Req","","","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Unique Subject Identifier","USUBJID","3","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/usubjid"
"1763","Req","","","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Sequence Number","AGSEQ","4","Identifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agseq"
"1764","Perm","","","Used to tie together a block of related records in a single domain for a subject.","Group ID","AGGRPID","5","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/aggrpid"
"1765","Perm","","","Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number from the procedure or test page.","Sponsor-Defined Identifier","AGSPID","6","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agspid"
"1766","Perm","","","Identifier used to link related records across domains.This may be a one-to-one or a one-to-many relationship.","Link ID","AGLNKID","7","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/aglnkid"
"1767","Perm","","","Identifier used to link related records across domains.This will usually be a many-to-one relationship.","Link Group ID","AGLNKGRP","8","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/aglnkgrp"
"1768","Req","","","Verbatim medication name that is either preprinted or collected on a CRF.","Reported Agent Name","AGTRT","9","Topic","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agtrt"
"1769","Perm","","","If AGTRT is modified to facilitate coding, then AGMODIFY will contain the modified text.","Modified Reported Name","AGMODIFY","10","Synonym Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agmodify"
"1770","Perm","","","Standardized or dictionary-derived text description of AGTRT or AGMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then AGDECOD will be left blank.","Standardized Agent Name","AGDECOD","11","Synonym Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdecod"
"1771","Perm","","","Used to define a category of agent. Examples: ""CHALLENGE AGENT"", ""PET TRACER"".","Category for Agent","AGCAT","12","Grouping Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agcat"
"1772","Perm","","","Further categorization of agent.","Subcategory for Agent","AGSCAT","13","Grouping Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agscat"
"1773","Perm","C66742","","Used to indicate whether (""Y""/null) information about the use of a specific agent was solicited on the CRF.","AG Pre-Specified","AGPRESP","14","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agpresp"
"1774","Perm","C66742","","When the use of specific agent is solicited, AGOCCUR is used to indicate whether (""Y""/""N"") use of the agent occurred. Values are null for agents not specifically solicited.","AG Occurrence","AGOCCUR","15","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agoccur"
"1775","Perm","C66789","","Used to indicate that a question about a prespecified agent was not answered. Should be null or have a value of ""NOT DONE"".","Completion Status","AGSTAT","16","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agstat"
"1776","Perm","","","Describes the reason a response to a question about the occurrence of a procedure agent was not collected. Used in conjunction with AGSTAT when value is ""NOT DONE"".","Reason Procedure Agent Not Collected","AGREASND","17","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agreasnd"
"1777","Perm","","","Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLAS.","Agent Class","AGCLAS","18","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agclas"
"1778","Perm","","","Class code corresponding to AGCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLASCD.","Agent Class Code","AGCLASCD","19","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agclascd"
"1779","Perm","","","Amount of AGTRT taken.","Dose per Administration","AGDOSE","20","Record Qualifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdose"
"1780","Perm","","","Dosing amounts or a range of dosing information collected in text form. Units may be stored in AGDOSU. Examples: ""200-400"", ""15-20"".","Dose Description","AGDOSTXT","21","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdostxt"
