"id:ID","alt_label","definition","extensible","identifier","label","notation","pref_label","uri"
"100","10-Meter Walk/Run Functional Test Test Code","10-Meter Walk/Run test code.","false","C141657","10-Meter Walk/Run Functional Test Test Code","TENMW1TC","CDISC Functional Test 10-Meter Walk/Run Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141657"
"101","10-Meter Walk/Run Functional Test Test Name","10-Meter Walk/Run test name.","false","C141656","10-Meter Walk/Run Functional Test Test Name","TENMW1TN","CDISC Functional Test 10-Meter Walk/Run Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141656"
"102","4-Stair Ascend Functional Test Test Code","4-Stair Ascend test code.","false","C141663","4-Stair Ascend Functional Test Test Code","A4STR1TC","CDISC Functional Test 4-Stair Ascend Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141663"
"103","4-Stair Ascend Functional Test Test Name","4-Stair Ascend test name.","false","C141662","4-Stair Ascend Functional Test Test Name","A4STR1TN","CDISC Functional Test 4-Stair Ascend Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141662"
"104","4-Stair Descend Functional Test Test Code","4-Stair Descend test code.","false","C141661","4-Stair Descend Functional Test Test Code","D4STR1TC","CDISC Functional Test 4-Stair Descend Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141661"
"105","4-Stair Descend Functional Test Test Name","4-Stair Descend test name.","false","C141660","4-Stair Descend Functional Test Test Name","D4STR1TN","CDISC Functional Test 4-Stair Descend Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141660"
"106","6 Minute Walk Functional Test Test Code","6 Minute Walk Test test code.","false","C115388","6 Minute Walk Functional Test Test Code","SIXMW1TC","CDISC Functional Test 6MWT Test Code Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C115388"
"107","6 Minute Walk Functional Test Test Name","6 Minute Walk Test test name.","false","C115387","6 Minute Walk Functional Test Test Name","SIXMW1TN","CDISC Functional Test 6MWT Test Name Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C115387"
"108","Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0101 Through AIMS0107 TN/TC","Abnormal Involuntary Movement Scale original result for AIMS0101 through AIMS0107 test and test code.","false","C182464","Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0101 Through AIMS0107 TN/TC","AIMS0101T07OR","CDISC Clinical Classification Abnormal Involuntary Movement Scale AIMS0101 Through AIMS0107 Original Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C182464"
"109","Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0108 Through AIMS0109 TN/TC","Abnormal Involuntary Movement Scale original result for AIMS0108 through AIMS0109 test and test code.","false","C182465","Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0108 Through AIMS0109 TN/TC","AIMS0108T09OR","CDISC Clinical Classification Abnormal Involuntary Movement Scale AIMS0108 Through AIMS0109 Original Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C182465"
"110","Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0110 TN/TC","Abnormal Involuntary Movement Scale original result for AIMS0110 test and test code.","false","C182466","Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0110 TN/TC","AIMS0110OR","CDISC Clinical Classification Abnormal Involuntary Movement Scale AIMS0110 Original Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C182466"
