"id:ID","alt_label","definition","extensible","identifier","label","notation","pref_label","uri"
"1135","Biological Sample Attribute Terminology","A terminology value set relevant to the attributes of the biological sample.","False","C179587","Biological Sample Attribute Terminology","Biological Sample Attribute Terminology","CDISC Protocol Biological Sample Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587"
"1136","Clinical Study Attribute Terminology","A terminology value set relevant to the attributes of the clinical study entity.","False","C142191","Clinical Study Attribute Terminology","Clinical Study Attribute Terminology","CDISC Protocol Entities Clinical Study Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C142191"
"1137","Clinical Trial Attribute Terminology","A terminology value set relevant to the attributes of the clinical trial entity.","False","C139020","Clinical Trial Attribute Terminology","Clinical Trial Attribute Terminology","CDISC Protocol Entities Clinical Trial Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C139020"
"1138","Endpoint Attribute Terminology","A terminology value set relevant to the attributes of the endpoint entity.","False","C170440","Endpoint Attribute Terminology","Endpoint Attribute Terminology","CDISC Protocol Endpoint Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C170440"
"1139","Endpoint Type Value Set Terminology","The terminology relevant to the type of endpoint for the study.","False","C170441","Endpoint Type Value Set Terminology","Endpoint Type Value Set Terminology","CDISC Protocol Endpoint Type Value Set Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C170441"
"1140","Informed Consent Attribute Terminology","A terminology value set relevant to the attributes of the informed consent.","False","C184334","Informed Consent Attribute Terminology","Informed Consent Attribute Terminology","CDISC Protocol Informed Consent Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C184334"
"1141","Ingredient Attribute Terminology","A terminology value set relevant to the attributes of the ingredient.","False","C177906","Ingredient Attribute Terminology","Ingredient Attribute Terminology","CDISC Protocol Ingredient Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177906"
"1142","Ingredient Type Value Set Terminology","The terminology relevant to the identification of the kind of ingredient.","False","C177907","Ingredient Type Value Set Terminology","Ingredient Type Value Set Terminology","CDISC Protocol Ingredient Type Value Set Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177907"
"1143","Intervention Attribute Terminology","A terminology value set relevant to the attributes of the intervention.","False","C177905","Intervention Attribute Terminology","Intervention Attribute Terminology","CDISC Protocol Intervention Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177905"
"1144","Intervention Model Response","A terminology codelist relevant to the trial design developed to compare treatment groups.","true","C99076","Intervention Model Response","INTMODEL","CDISC SDTM Intervention Model Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C99076"
"1145","Intervention Type Response","A terminology codelist relevant to the kind of product or procedure studied in a trial.","false","C99078","Intervention Type Response","INTTYPE","CDISC SDTM Intervention Type Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C99078"
"1146","No Yes Response","A term that is used to indicate a question with permissible values of yes/no/unknown/not applicable.","false","C66742","No Yes Response","NY","CDISC SDTM Yes No Unknown or Not Applicable Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C66742"
"1147","Observational Study Model","The terminology relevant to the trial design for observational studies.","true","C127259","Observational Study Model","OBSSMO","CDISC SDTM Observational Study Model Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C127259"
"1148","Outcome Measure Attribute Terminology","A terminology value set relevant to the attributes of the outcome measure entity.","False","C165641","Outcome Measure Attribute Terminology","Outcome Measure Attribute Terminology","CDISC Protocol Outcome Measure Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C165641"
"1149","Outcome Measure Type Value Set Terminology","The terminology relevant to the type of outcome measure for the study.","False","C170442","Outcome Measure Type Value Set Terminology","Outcome Measure Type Value Set Terminology","CDISC Protocol Outcome Measure Type Value Set Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C170442"
"1150","Oversight Entity Value Set","The terminology relevant to the type of oversight entity for the study.","False","C165642","Oversight Entity Value Set","Oversight Entity Value Set","CDISC Protocol Oversight Entity Value Set Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C165642"
"1151","Participant Allocation Value Set","A terminology codelist for the method of assigning participants, or subjects, to groups or categories within a clinical study.","False","C147068","Participant Allocation Value Set","Participant Allocation Value Set","CDISC Protocol Subject Allocation Response Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C147068"
"1152","Physical Address Attribute Terminology","A terminology value set relevant to the attributes of the physical address entity.","False","C132308","Physical Address Attribute Terminology","Physical Address Attribute Terminology","CDISC Protocol Entities Physical Address Attribute Terminology","http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C132308"
