"id:ID","name","uri"
"1313","coding","http://id.d4k.dk/dataset/bc_template/base_observation/test/coding"
"1314","coding","http://id.d4k.dk/dataset/bc_template/base_observation/position/coding"
"1315","coding","http://id.d4k.dk/dataset/bc_template/base_observation/site_of_administration/coding"
"1316","coding","http://id.d4k.dk/dataset/bc_template/base_observation/laterality/coding"
"1317","coding","http://id.d4k.dk/dataset/bc_template/base_observation/method/coding"
"1318","DATETIME","http://id.d4k.dk/dataset/bc_template/base_observation/date_time/datetime"
"1319","quantity","http://id.d4k.dk/dataset/bc_template/base_observation/result/quantity"
"1320","coding","http://id.d4k.dk/dataset/bc_template/base_observation/result/coding"
"1321","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/test/coding"
"1322","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/position/coding"
"1323","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/site_of_administration/coding"
"1324","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/laterality/coding"
"1325","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/directionality/coding"
"1326","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/method/coding"
"1327","DATETIME","http://id.d4k.dk/dataset/bc_template/base_laboratory/date_time/datetime"
"1328","quantity","http://id.d4k.dk/dataset/bc_template/base_laboratory/result/quantity"
"1329","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/result/coding"
"1330","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/specimen/coding"
