"id","alt_label","definition","identifier","notation","pref_label","uri"
"7550","Percent Inhibition","The rate of measured normal activity minus inhibited activity, divided by the rate of normal activity of a given object. It is expressed as a percentage.","C117963","% INHIBITION","Percent Inhibition","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C117963"
"7551","Percentage","One hundred times the quotient of one quantity divided by another, with the same units of measurement.","C25613","%","Percentage","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C25613"
"7552","Percent Volume per Volume;vol%","A percent ratio of volume to volume, defined by the equation: [volume of solute (in ml)/ volume of solution (in ml)](100), typically used for admixtures of solutions.(NCI)","C48571","%(v/v)","Percent Volume per Volume","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48571"
"7553","Percent Weight per Volume","A percent ratio of weight to volume, defined by the equation: [weight of solute (in gm)/volume of solution (in dl)](100). Since the numerator and denominator of this ratio have different units, it is not a true percentage. A 1% w/v solution is defined as being 1 gram of solute dissolved in 100 milliliters of solvent.(NCI)","C48527","%(w/v)","Percent Mass per Volume","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48527"
"7554","Percent Weight per Weight","A percent ratio of weight to weight, defined by the equation: [weight of solute (in gm)/weight of solution (in gm)](100).(NCI)","C48528","%(w/w)","Percent Mass per Mass","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48528"
"7555","Percent per Minute","A unit of frequency expressed as the percentage of entities or events per minute.","C114240","%/min","Percent per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C114240"
"7556","Percent per Second","A unit of frequency expressed as the percentage of entities or events per second.","C163560","%/s","Percent per Second","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C163560"
"7557","Per 100 High Powered Fields","A unit of measurement of the number of entities per unit of area equal to one hundred high powered fields.","C102695","/100 HPFs","Per 100 High Powered Fields","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C102695"
"7558","Per 100 White Blood Cells","Natural number unit of measurement for a portion of a particular type of cell (excluding white blood cell subtypes) per 100 white blood cells.","C67219","/100 WBC","Per 100 White Blood Cells","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67219"
"7559","","A unit equal to one thousand entities used as a denominator to build a derived unit expressed as a ratio. (NCI)","C123634","/10^3","Per Thousand","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C123634"
"7560","","A unit equal to ten thousand entities used as a denominator to build a derived unit expressed as a ratio. (NCI)","C135515","/10^4","Per Ten Thousand","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C135515"
"7561","","A unit equal to one hundred thousand entities used as a denominator to build a derived unit expressed as a ratio. (NCI)","C135516","/10^5","Per Hundred Thousand","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C135516"
"7562","","A unit equal to one million entities used as a denominator to build a derived unit expressed as a ratio. (NCI)","C184719","/10^6","Per Million","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C184719"
"7563","","A unit of measurement of the number of entities per unit of area equal to 200 high powered fields.","C132472","/200 HPFs","Per 200 High Powered Fields","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C132472"
"7564","","Natural number unit of measurement for a portion of a particular type of cell (excluding red blood cell subtypes) per 2000 red blood cells.","C132473","/2000 RBC","Per 2000 Red Blood Cells","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C132473"
"7565","","Natural number unit of measurement for a portion of a particular type of cell (excluding white blood cell subtypes) per 2500 white blood cells.","C132474","/2500 WBC","Per 2500 White Blood Cells","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C132474"
"7566","","A volume unit equal to 4.0 milliliters used as a denominator to build a derived unit expressed as a ratio.","C122197","/4.0 mL","per 4.0 Milliliters","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C122197"
"7567","","A unit of measurement of the number of entities per unit of area equal to 40 high powered fields.","C132475","/40 HPFs","Per 40 High Powered Fields","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C132475"
"7568","","Natural number unit of measurement for a portion of a particular type of cell (excluding white blood cell subtypes) per 500 white blood cells.","C132476","/500 WBC","Per 500 White Blood Cells","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C132476"
"7569","","Natural number unit of measurement for a portion of a particular type of cell (excluding white blood cell subtypes) per 50,000 white blood cells.","C170636","/5x10^4 WBC","Per 50,000 White Blood Cells","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C170636"
"7570","","A volume unit equal to 7.5 milliliters used as a denominator to build a derived unit expressed as a ratio.","C122198","/7.5 mL","per 7.5 Milliliters","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C122198"
"7571","","A unit of pressure equal to one centimeter of water used as a denominator to build a derived unit expressed as a ratio. (NCI)","C135517","/cmH2O","Per Centimeter of Water","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C135517"
"7572","/day;Daily;Per Day","A rate of occurrences within a period of time equal to one day.","C25473","/day","Daily","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C25473"
"7573","Per Hour","A rate of occurrences within a period of time equal to one hour.","C66966","/h","Per Hour","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C66966"
"7574","Per High Powered Field","A unit of measure equal to the instances of an entity per visual field of a microscope set to a high magnification power.","C96619","/HPF","Per High Powered Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C96619"
"7575","","A unit equal to one kilogram used as a denominator to build a derived unit expressed as a ratio. (NCI)","C120844","/kg","Per Kilogram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C120844"
"7576","Per Low Powered Field","A unit of measure equal to the instances of an entity per visual field of a microscope set to a low magnification power.","C96620","/LPF","Per Low Powered Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C96620"
"7577","/Large Square Neubauer","A unit of measure equal to the instances of an entity per large square (with a 1 mm2 area) in a Neubauer chamber.","C130187","/LSQN","Per Large Square Neubauer Chamber","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C130187"
"7578","/10^6 BP;/Mb;/Mbp;Per Megabase Pair","A unit equal to one million base pairs used as a denominator to build a derived unit expressed as a ratio.","C176387","/MBP","Per Megabase Pair","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C176387"
"7579","","A rate of occurrences within a period of time equal to one minute.","C66967","/min","Per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C66967"
"7580","","A unit of length equal to one millimeter used as a denominator to build a derived unit expressed as a ratio.","C130188","/mm","Per Millimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C130188"
"7581","","An area unit equal to one millimeter squared used as a denominator to build a derived unit expressed as a ratio.","C122199","/mm2","per Square Millimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C122199"
"7582","Every Month;Per Month","Every month. (NCI)","C64498","/month","Monthly","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64498"
"7583","1/ms;ms^-1;Reciprocal of Millisecond","A rate of occurrences within a period of time equal to one second.","C161490","/ms","Per Millisecond","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C161490"
"7584","","A rate of occurrences within a period of time equal to one second.","C66965","/sec","Per Second","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C66965"
"7585","Per Visual Field","A unit of measure equal to the instances of an entity per visual field of a microscope. (NCI)","C105516","/VF","Per Visual Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105516"
"7586","Every week;Per Week;QS","Every week. (NCI)","C67069","/wk","Weekly","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67069"
"7587","/(s*kPa)","A unit of resistance equal to the inverse of one second times one kilopascal.","C127804","1/(s*kPa)","One per Second Times Kilopascal","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C127804"
"7588","100 International units/Milliliter","A unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one hundred international units per one milliliter of system volume.(NCI)","C71185","100 IU/mL","100 International Units per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71185"
"7589","10^4/mm3;10^4/uL;10^7/mL","A unit of measurement equal to 10 to the tenth power of entities per unit of volume equal to one liter. (NCI)","C105517","10^10/L","Ten Billion Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105517"
